Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Moochie Norris,PG,31,HOU,6,0,6.5,0.5,2.7,0.188,0,0,,0.5,2.7,0.188,0.188,0.3,0.3,1,0.2,0.5,0.7,0.8,0.2,0,0.3,0.3,1.3
Dirk Nowitzki*,PF,26,DAL,78,78,38.7,8.5,18.5,0.459,1.2,2.9,0.399,7.3,15.6,0.47,0.49,7.9,9.1,0.869,1.2,8.5,9.7,3.1,1.2,1.5,2.3,2.8,26.1
Jermaine O'Neal,PF,26,IND,44,41,34.8,8.8,19.4,0.452,0,0.1,0.167,8.8,19.3,0.454,0.453,6.7,8.9,0.754,1.9,6.9,8.8,1.9,0.6,2,3,3.9,24.3
Shaquille O'Neal*,C,32,MIA,73,73,34.1,9,15,0.601,0,0,,9,15,0.601,0.601,4.8,10.5,0.461,3.5,6.9,10.4,2.7,0.5,2.3,2.8,3.6,22.9
Lamar Odom,PF,25,LAL,64,64,36.3,5.7,12.1,0.473,0.6,1.8,0.308,5.2,10.3,0.502,0.496,3.2,4.7,0.695,2.1,8.1,10.2,3.7,0.7,1,2.5,3.3,15.2
Emeka Okafor,PF,22,CHA,73,73,35.6,6.1,13.7,0.447,0,0,0,6.1,13.7,0.447,0.447,2.9,4.7,0.609,3.8,7.1,10.9,0.9,0.8,1.7,1.7,2.9,15.1
Mehmet Okur,C,25,UTA,82,25,28.1,4.3,9.2,0.468,0.2,0.8,0.27,4.1,8.5,0.486,0.479,4,4.7,0.85,2.4,5.1,7.5,2,0.4,0.8,1.7,2.8,12.9
Kevin Ollie,PG,32,PHI,26,0,6.1,0.4,1.2,0.355,0,0,,0.4,1.2,0.355,0.355,0.2,0.3,0.667,0.1,0.6,0.7,0.7,0.2,0,0.2,0.6,1.1
Michael Olowokandi,C,29,MIN,62,34,19.6,2.6,5.7,0.456,0,0,,2.6,5.7,0.456,0.456,0.7,1.1,0.667,1.7,3.5,5.2,0.5,0.2,0.9,1.1,3.1,5.9
Greg Ostertag,C,31,SAC,56,3,9.9,0.7,1.5,0.44,0,0,0,0.7,1.5,0.451,0.44,0.2,0.7,0.342,1,2,3,0.7,0.1,0.7,0.4,1.6,1.6
Bo Outlaw,PF,33,PHO,39,0,5.5,0.3,0.9,0.353,0,0,,0.3,0.9,0.353,0.353,0.1,0.2,0.556,0.4,0.9,1.4,0.3,0.2,0.3,0.2,0.7,0.7
Travis Outlaw,SF,20,POR,59,2,13.4,2.3,4.5,0.498,0.1,0.2,0.4,2.2,4.4,0.502,0.506,0.8,1.3,0.653,0.7,1.4,2.1,0.6,0.5,0.7,0.7,1.3,5.4
Zaza Pachulia,C,20,MIL,74,4,18.9,2.2,4.8,0.452,0,0,0,2.2,4.8,0.453,0.452,1.9,2.5,0.746,1.8,3.3,5.1,0.8,0.6,0.5,0.9,2.2,6.2
Scott Padgett,PF,28,HOU,66,0,14.3,1.5,3.5,0.421,0.8,1.9,0.397,0.7,1.6,0.449,0.528,0.4,0.6,0.725,0.7,2.1,2.8,0.8,0.5,0.2,0.5,1.8,4.2
Milt Palacio,PG,26,TOR,80,4,19.2,2.2,4.9,0.446,0,0.2,0.167,2.2,4.8,0.455,0.449,1.4,1.9,0.742,0.3,1.4,1.7,3.5,0.6,0.2,1.3,1.6,5.8
Jannero Pargo,PG,25,CHI,32,0,14.2,2.6,6.7,0.385,0.7,2.1,0.348,1.8,4.6,0.401,0.439,0.5,0.7,0.739,0.4,1.1,1.5,2.4,0.5,0,1.4,1.7,6.4
Smush Parker,PG,23,TOT,16,1,9,1.1,2.7,0.419,0.2,0.8,0.231,0.9,1.9,0.5,0.453,0.6,0.8,0.692,0.3,0.5,0.8,0.9,0.3,0,1.2,1,3
Smush Parker,PG,23,DET,11,1,10,1,2.5,0.393,0.2,0.8,0.222,0.8,1.7,0.474,0.429,0.8,1.2,0.692,0.2,0.6,0.8,1,0.3,0,0.9,1.2,3
Smush Parker,PG,23,PHO,5,0,6.8,1.4,3,0.467,0.2,0.8,0.25,1.2,2.2,0.545,0.5,0,0,,0.4,0.2,0.6,0.8,0.4,0,1.8,0.6,3
Tony Parker*,PG,22,SAS,80,80,34.2,6.7,14,0.482,0.5,2,0.276,6.2,12,0.516,0.501,2.6,4,0.65,0.6,3.1,3.7,6.1,1.2,0.1,2.7,2.1,16.6
Ruben Patterson,SF,29,POR,70,36,28,4.6,8.6,0.531,0,0.4,0.08,4.5,8.2,0.55,0.532,2.4,4,0.599,1.8,2.1,3.9,2,1.5,0.3,2,2.3,11.6
Sasha Pavlović,SG,21,CLE,65,9,13.3,1.8,4.2,0.435,0.5,1.2,0.385,1.4,3,0.455,0.489,0.7,1,0.688,0.2,0.9,1.1,0.8,0.4,0.1,0.7,1.9,4.8
Gary Payton*,PG,36,BOS,77,77,33,4.4,9.4,0.468,0.5,1.7,0.326,3.9,7.7,0.498,0.497,2,2.6,0.761,0.6,2.4,3.1,6.1,1.1,0.2,1.9,1.6,11.3
Anthony Peeler,SG,35,WAS,40,0,13.2,1.4,3.8,0.373,0.6,1.6,0.385,0.8,2.1,0.365,0.457,0.4,0.5,0.889,0.4,1.3,1.6,1.4,0.5,0.1,0.7,1,3.8
Kirk Penney,SG,24,LAC,4,0,3,0.3,0.8,0.333,0,0.3,0,0.3,0.5,0.5,0.333,0,0,,0,0.3,0.3,0.3,0,0,0.5,0,0.5
Kendrick Perkins,C,20,BOS,60,3,9.1,0.9,2,0.471,0,0,,0.9,2,0.471,0.471,0.6,1,0.638,0.9,2.1,2.9,0.4,0.2,0.6,0.7,1.6,2.5
Wesley Person,SF,33,TOT,41,3,16.3,2.6,5.5,0.473,1,2.2,0.461,1.6,3.3,0.482,0.564,0.2,0.3,0.692,0.1,2,2,1,0.5,0.1,0.4,0.7,6.4
Wesley Person,SF,33,MIA,16,3,12.9,1.6,3.6,0.439,0.5,1.3,0.381,1.1,2.3,0.472,0.509,0.3,0.3,1,0.1,1.3,1.4,0.7,0.4,0,0.4,0.4,3.9
Wesley Person,SF,33,DEN,25,0,18.4,3.3,6.8,0.485,1.3,2.7,0.485,2,4,0.485,0.583,0.2,0.4,0.556,0.1,2.4,2.4,1.1,0.5,0.2,0.4,1,8.1
Morris Peterson,SG,27,TOR,82,61,30.6,4.3,10.3,0.42,1.6,4.1,0.385,2.8,6.3,0.442,0.496,2.3,2.8,0.832,0.9,3.3,4.1,2.1,1.1,0.2,1.1,2.7,12.5
Eric Piatkowski,SG,34,CHI,68,11,12.4,1.6,3.8,0.43,0.8,2,0.425,0.8,1.8,0.435,0.541,0.7,0.8,0.804,0.2,0.9,1.2,0.8,0.4,0,0.5,1,4.8
Paul Pierce*,SF,27,BOS,82,82,36.1,6.8,14.9,0.455,1.3,3.6,0.37,5.5,11.4,0.481,0.499,6.7,8.1,0.822,1,5.6,6.6,4.2,1.6,0.5,2.8,3.1,21.6
Mickaël Piétrus,SF,22,GSW,67,3,20,3.2,7.5,0.427,1,2.9,0.344,2.2,4.6,0.48,0.494,2.1,3,0.698,1,1.9,2.8,1.2,0.7,0.3,1.4,2.1,9.5
Zoran Planinić,PG,22,NJN,43,8,12,1.8,4,0.448,0.3,0.9,0.375,1.5,3.1,0.47,0.491,1.1,1.5,0.697,0.4,1.2,1.6,1,0.6,0,1,1.8,5
Pavel Podkolzin,C,20,DAL,5,0,2,0,0,,0,0,,0,0,,,0.2,0.4,0.5,0,0.4,0.4,0,0,0,0.4,0.8,0.2
Scot Pollard,C,29,IND,49,17,17.7,1.6,3.4,0.473,0,0,,1.6,3.4,0.473,0.473,0.7,1,0.673,1.7,2.4,4.2,0.4,0.6,0.5,0.6,2.5,3.9
Mark Pope,PF,32,DEN,9,0,3,0.2,0.7,0.333,0,0,,0.2,0.7,0.333,0.333,0,0,,0.6,0.3,0.9,0.1,0.1,0.2,0.1,0.6,0.4
James Posey,SF,28,MEM,50,18,27.6,2.5,7.1,0.357,1.1,3.6,0.309,1.4,3.6,0.404,0.434,1.9,2.2,0.865,0.9,3.5,4.4,1.8,1,0.5,1.4,2.7,8.1
Vitaly Potapenko,C,29,SEA,33,1,10.2,1.4,2.6,0.517,0,0,0,1.4,2.6,0.523,0.517,0.8,0.9,0.871,0.9,1.5,2.4,0.3,0.2,0.1,0.4,1.6,3.5
Tayshaun Prince,SF,24,DET,82,82,37.1,5.7,11.7,0.487,0.6,1.7,0.341,5.1,10.1,0.512,0.511,2.7,3.3,0.807,1.6,3.7,5.3,3,0.7,0.9,1.6,2,14.7
Laron Profit,SF,27,WAS,42,4,10.2,1.3,3,0.438,0.2,0.7,0.286,1.1,2.4,0.48,0.469,0.4,0.6,0.64,0.6,1.2,1.8,0.9,0.4,0.1,0.6,1,3.2
Joel Przybilla,C,25,POR,76,50,24.4,2.6,4.4,0.598,0,0,,2.6,4.4,0.598,0.598,1.2,2.3,0.517,2.3,5.4,7.7,1,0.3,2.1,1.3,3.1,6.4
Vladimir Radmanović,PF,24,SEA,63,0,29.5,4.2,10.3,0.409,2,5.2,0.389,2.2,5.1,0.43,0.508,1.3,1.6,0.786,0.8,3.8,4.6,1.4,0.9,0.5,1.3,2.7,11.8
Aleksandar Radojević,C,28,UTA,12,6,10.7,0.5,1.6,0.316,0,0,,0.5,1.6,0.316,0.316,0.6,0.8,0.7,0.8,1.6,2.3,0.5,0,0.2,1.3,2.7,1.6
Peter John Ramos,C,19,WAS,6,0,3.3,0.8,1.7,0.5,0,0,,0.8,1.7,0.5,0.5,0.2,0.3,0.5,0.2,0.5,0.7,0,0,0.2,0.5,0.7,1.8
Zach Randolph,PF,23,POR,46,37,34.8,7.2,16.1,0.448,0,0.1,0,7.2,16,0.452,0.448,4.5,5.5,0.815,3.1,6.5,9.6,1.9,0.7,0.4,2.4,2.4,18.9
Theo Ratliff,C,31,POR,63,45,27.5,1.8,4.1,0.447,0,0,,1.8,4.1,0.447,0.447,1.2,1.7,0.692,1.8,3.5,5.3,0.5,0.4,2.5,0.9,2.9,4.8
Željko Rebrača,C,32,LAC,58,2,16,2.3,4,0.568,0,0,,2.3,4,0.568,0.568,1.3,1.5,0.859,0.8,2.3,3.2,0.4,0.2,0.7,0.8,2.2,5.8
Michael Redd,SG,25,MIL,75,75,38,8.3,18.9,0.441,1.4,3.9,0.355,6.9,15,0.463,0.477,4.9,5.8,0.854,1,3.2,4.2,2.3,0.8,0.1,1.8,2,23
Justin Reed,SF,23,BOS,23,0,5.3,0.7,1.3,0.517,0,0.1,0,0.7,1.1,0.577,0.517,0.5,0.7,0.733,0.3,0.3,0.7,0.4,0.1,0,0.2,0.5,1.8
Jared Reiner,C,22,CHI,19,2,6.9,0.5,1.6,0.333,0,0,,0.5,1.6,0.333,0.333,0.1,0.2,0.25,0.7,1.3,2,0.1,0.2,0.4,0.5,1.8,1.1
Jason Richardson,SG,24,GSW,72,72,37.8,8.5,19,0.446,1.7,5.1,0.338,6.7,13.9,0.486,0.492,3,4.3,0.693,1.7,4.2,5.9,3.9,1.5,0.4,2.3,2.2,21.7
Quentin Richardson,SG,24,PHO,79,78,35.9,5.2,13.2,0.389,2.9,8,0.358,2.3,5.2,0.437,0.498,1.7,2.3,0.739,1.2,4.9,6.1,2,1.2,0.3,1.3,2.5,14.9
Luke Ridnour,PG,23,SEA,82,82,31.4,3.6,9,0.405,0.8,2.2,0.376,2.8,6.8,0.414,0.45,1.9,2.2,0.883,0.7,1.8,2.5,5.9,1.1,0.3,1.8,2.3,10
Bernard Robinson,SG,24,CHA,31,1,10.6,1.2,2.6,0.444,0.1,0.3,0.375,1.1,2.4,0.452,0.463,0.6,0.8,0.692,0.5,1.1,1.5,1,0.4,0.1,0.6,1.4,3
Clifford Robinson,C-PF,38,TOT,71,29,23.8,2.8,7.4,0.386,0.9,2.7,0.347,1.9,4.6,0.409,0.45,0.9,1.4,0.639,0.8,2.2,2.9,1.5,0.9,0.7,0.9,2.5,7.5
Clifford Robinson,C,38,GSW,42,29,26,3.4,8.4,0.398,1,3,0.331,2.4,5.4,0.436,0.458,0.8,1.4,0.603,0.7,2,2.7,1.8,1,0.9,1,2.5,8.5
Clifford Robinson,PF,38,NJN,29,0,20.7,2.1,5.8,0.361,0.9,2.3,0.379,1.2,3.6,0.35,0.435,0.9,1.3,0.692,0.8,2.5,3.3,1,0.6,0.5,0.9,2.6,6
Glenn Robinson,SF,32,SAS,9,0,17.4,3.8,8.6,0.442,0.2,0.7,0.333,3.6,7.9,0.451,0.455,2.2,2.6,0.87,0.4,2.2,2.7,0.9,0.4,0.3,0.8,2.1,10
Rodney Rogers,SF-PF,33,TOT,58,33,23.6,3,7.8,0.382,0.8,2.9,0.286,2.1,4.9,0.44,0.436,0.9,1.2,0.743,1.1,3.2,4.2,1.5,0.7,0.3,1.5,3,7.7
Rodney Rogers,SF,33,NOH,30,26,29.4,3.6,9.6,0.377,0.8,3.1,0.272,2.8,6.6,0.426,0.42,1.1,1.4,0.762,0.9,3.8,4.7,2,0.6,0.4,2.2,3.4,9.2
Rodney Rogers,PF,33,PHI,28,7,17.3,2.3,5.8,0.391,0.8,2.7,0.303,1.4,3,0.471,0.463,0.7,1,0.714,1.2,2.5,3.7,0.9,0.8,0.3,0.7,2.5,6
Jalen Rose,SF,32,TOR,81,65,33.5,6.5,14.3,0.455,1.3,3.4,0.394,5.2,10.9,0.473,0.501,4.1,4.8,0.854,0.5,2.9,3.4,2.6,0.8,0.1,2.2,2.3,18.5
Malik Rose,PF,30,TOT,76,5,19.4,2.6,5.8,0.449,0,0.1,0.1,2.6,5.7,0.457,0.45,1.8,2.4,0.737,1.7,2.8,4.5,0.8,0.6,0.2,1.3,2.7,7
Malik Rose,PF,30,SAS,50,1,17.2,2.5,5.3,0.464,0,0.1,0,2.5,5.3,0.471,0.464,1.4,2,0.697,1.9,2.6,4.5,0.8,0.6,0.2,1.1,2.5,6.3
Malik Rose,PF,30,NYK,26,4,23.6,2.8,6.7,0.425,0,0.2,0.167,2.8,6.5,0.435,0.428,2.6,3.3,0.782,1.3,3.1,4.4,0.7,0.6,0.3,1.8,3.2,8.3
Quinton Ross,SG,23,LAC,78,19,21.3,2.1,4.8,0.432,0,0.1,0.25,2.1,4.7,0.434,0.433,0.9,1.4,0.673,0.8,1.9,2.7,1.4,0.7,0.3,0.7,2.1,5.1
Michael Ruffin,C,28,WAS,79,7,16,0.5,1.3,0.414,0,0,0,0.5,1.2,0.418,0.414,0.4,0.8,0.433,2,2.2,4.2,0.8,0.5,0.5,0.6,2.4,1.4
Kareem Rush,SG,24,TOT,48,22,20.2,3.3,8.5,0.387,1.1,2.9,0.372,2.2,5.6,0.394,0.45,0.8,1,0.771,0.4,1.4,1.9,1.4,0.4,0.1,1,1.5,8.4
Kareem Rush,SG,24,LAL,14,0,6.5,0.3,1.4,0.2,0.1,0.7,0.2,0.1,0.7,0.2,0.25,0.1,0.1,1,0.2,0.5,0.7,0.2,0.1,0.1,0.2,0.5,0.9
Kareem Rush,SG,24,CHA,34,22,25.8,4.5,11.4,0.396,1.4,3.7,0.386,3.1,7.6,0.402,0.46,1,1.4,0.761,0.5,1.8,2.3,1.9,0.5,0.2,1.3,2,11.5
Bryon Russell,SF,34,DEN,70,2,14.7,1.4,3.6,0.377,0.8,2.1,0.376,0.6,1.5,0.379,0.488,0.9,1.1,0.792,0.7,1.7,2.5,1,0.6,0.2,0.5,1.9,4.4
John Salmons,SG,25,PHI,58,8,17.1,1.5,3.6,0.405,0.5,1.6,0.341,0.9,2.1,0.454,0.479,0.6,0.8,0.729,0.2,1.9,2.1,2,0.7,0.2,0.9,1.6,4.1
Jamal Sampson,PF,21,CHA,23,0,14.3,1.2,2.7,0.452,0,0,,1.2,2.7,0.452,0.452,1,1.7,0.59,1.6,3.7,5.3,0.3,0.2,0.7,0.7,2.3,3.4
Daniel Santiago,C,28,MIL,11,0,9.5,0.6,1.9,0.333,0,0,,0.6,1.9,0.333,0.333,0.7,1,0.727,0.5,1.2,1.7,0.1,0.3,0.4,0.4,2.5,2
Brian Scalabrine,PF,26,NJN,54,14,21.6,2.4,6.1,0.398,0.4,1.3,0.324,2,4.9,0.417,0.431,1,1.3,0.768,1.5,3,4.5,1.6,0.6,0.3,1.2,2.1,6.3
Ansu Sesay,SF,28,GSW,16,0,8,1.1,2.6,0.405,0.1,0.5,0.25,0.9,2.1,0.441,0.429,0.8,1.5,0.542,1.1,1.3,2.4,0.8,0.1,0.2,0.5,1,3.1
Ha Seung-Jin,C,19,POR,19,0,5.5,0.5,1.2,0.435,0,0,,0.5,1.2,0.435,0.435,0.3,0.6,0.545,0.3,0.6,0.9,0.1,0.1,0.3,0.6,1.1,1.4
Paul Shirley,PF,27,PHO,9,0,3.3,0.6,1.2,0.455,0,0,,0.6,1.2,0.455,0.455,0.2,0.4,0.5,0.1,0.1,0.2,0.3,0,0,0.1,0.3,1.3
Bobby Simmons,SF,24,LAC,75,74,37.3,6.3,13.6,0.466,0.7,1.5,0.435,5.7,12,0.47,0.491,3.1,3.6,0.846,1.7,4.2,5.9,2.7,1.4,0.2,1.8,3,16.4
Brian Skinner,C-PF,28,TOT,49,23,19.2,2.1,4.2,0.507,0,0,0,2.1,4.2,0.51,0.507,0.5,1.4,0.357,2.2,3.5,5.7,0.9,0.6,1,0.8,2.1,4.8
Brian Skinner,PF,28,PHI,24,0,10.3,0.9,2.4,0.386,0,0,0,0.9,2.3,0.393,0.386,0.2,0.7,0.294,1,1.6,2.6,0.2,0.2,0.3,0.5,1.2,2
Brian Skinner,C,28,SAC,25,23,27.8,3.3,5.9,0.554,0,0,,3.3,5.9,0.554,0.554,0.8,2.1,0.377,3.4,5.4,8.7,1.5,1,1.7,1.1,2.9,7.4
Tamar Slay,SG,24,CHA,8,0,9.8,1.6,4.9,0.333,0.3,1.5,0.167,1.4,3.4,0.407,0.359,0,0.3,0,0.8,1,1.8,0.4,0.6,0,1,2.5,3.5
Donta Smith,SG,21,ATL,38,0,11.4,1.2,3,0.389,0.2,0.6,0.273,1,2.4,0.418,0.416,0.9,1.3,0.688,0.5,0.9,1.4,1,0.6,0.1,0.7,1.3,3.3
J.R. Smith,SG,19,NOH,76,56,24.5,3.9,9.8,0.394,1.1,3.7,0.288,2.8,6.1,0.458,0.449,1.5,2.1,0.689,0.5,1.5,2,1.9,0.7,0.1,1.4,1.8,10.3
Jabari Smith,PF,27,NJN,45,2,14.4,1.4,3.3,0.419,0,0,0.5,1.4,3.2,0.418,0.422,0.9,1.2,0.745,0.6,1.8,2.5,0.8,0.6,0.3,0.9,2.3,3.7
Joe Smith,PF,29,MIL,74,73,30.6,4.3,8.4,0.514,0,0,0,4.3,8.4,0.515,0.514,2.4,3.1,0.768,2.4,4.9,7.3,0.9,0.6,0.5,1.1,3,11
Josh Smith,SF,19,ATL,74,59,27.7,3.7,8.1,0.455,0.1,0.3,0.174,3.6,7.8,0.466,0.458,2.2,3.2,0.688,2,4.2,6.2,1.7,0.8,1.9,1.8,2.1,9.7
Steve Smith,SG,35,TOT,50,1,15,2,5,0.411,0.8,2.1,0.39,1.2,2.9,0.427,0.494,1.4,1.6,0.863,0.3,1,1.3,1.4,0.3,0.1,0.5,1.6,6.3
Steve Smith,SG,35,CHA,37,1,17.2,2.5,5.9,0.427,1,2.4,0.422,1.5,3.5,0.43,0.514,1.8,2.1,0.87,0.4,1,1.3,1.5,0.3,0.2,0.6,2,7.9
Steve Smith,SG,35,MIA,13,0,8.8,0.7,2.3,0.3,0.2,1.2,0.2,0.5,1.2,0.4,0.35,0.2,0.2,0.667,0.2,1.1,1.2,1.1,0.2,0,0.2,0.6,1.8
Theron Smith,SF,24,CHA,33,5,15.5,1.3,4.1,0.324,0.1,0.4,0.25,1.2,3.8,0.331,0.335,0.4,0.5,0.875,1.2,2.3,3.5,0.8,0.2,0.1,0.8,1.8,3.2
Eric Snow,SG,31,CLE,81,15,22.8,1.5,4,0.382,0.2,0.6,0.289,1.4,3.5,0.397,0.402,0.7,1,0.738,0.5,1.5,1.9,3.9,0.8,0.2,1.1,2.3,4
Kirk Snyder,SG,21,UTA,68,7,13.3,1.8,4.8,0.372,0.4,1.3,0.353,1.4,3.6,0.379,0.418,0.9,1.4,0.667,0.7,1,1.8,0.5,0.4,0.3,0.9,1.7,5
Darius Songaila,PF,26,SAC,81,21,20.6,3.2,6,0.527,0,0,0,3.2,6,0.53,0.527,1.2,1.4,0.847,1.5,2.7,4.2,1.4,0.6,0.2,0.9,2.5,7.5
Pape Sow,C,23,TOR,27,4,9.4,0.9,2.1,0.397,0,0,,0.9,2.1,0.397,0.397,0.6,1,0.593,0.7,1.4,2.1,0.1,0.4,0.1,0.4,1.7,2.3
Latrell Sprewell,SF,34,MIN,80,79,30.6,5,12,0.414,0.9,2.6,0.327,4.1,9.4,0.439,0.45,2,2.4,0.83,0.8,2.4,3.2,2.2,0.7,0.3,1.6,1.6,12.8
Jerry Stackhouse,SG,30,DAL,56,7,28.9,4.9,11.8,0.414,0.6,2.1,0.267,4.3,9.7,0.446,0.438,4.5,5.3,0.849,0.7,2.6,3.3,2.3,0.9,0.2,1.9,1.9,14.9
DeShawn Stevenson,SG,23,ORL,55,27,19.8,3.2,7.7,0.408,0.5,1.2,0.373,2.7,6.5,0.415,0.438,1,1.8,0.554,0.7,1.2,1.9,1.3,0.3,0.2,1,1.3,7.8
Michael Stewart,PF,29,ATL,12,1,12.1,0.9,1.8,0.524,0,0,,0.9,1.8,0.524,0.524,0.3,0.6,0.429,1.8,1.6,3.3,0.4,0.5,0.4,0.5,2.7,2.1
Peja Stojaković,SF,27,SAC,66,66,38.4,6.8,15.4,0.444,2.6,6.6,0.402,4.2,8.8,0.475,0.53,3.8,4.2,0.92,0.9,3.4,4.3,2.1,1.2,0.2,1.5,2.4,20.1
Awvee Storey,SG,27,NJN,9,0,3.6,0.3,1.1,0.3,0.1,0.2,0.5,0.2,0.9,0.25,0.35,0.1,0.2,0.5,0.4,0.1,0.6,0.1,0,0,0,0.3,0.9
Damon Stoudamire,PG,31,POR,81,70,34.1,5.6,14.4,0.392,2.2,6,0.369,3.4,8.3,0.409,0.47,2.2,2.5,0.915,0.7,3.1,3.8,5.7,1.1,0,2,2,15.8
Amar'e Stoudemire,C,22,PHO,80,80,36.1,9.3,16.7,0.559,0,0.2,0.188,9.3,16.5,0.564,0.56,7.3,9.9,0.733,2.7,6.2,8.9,1.6,1,1.6,2.4,3.5,26
Erick Strickland,SG,31,MIL,62,5,16.4,1.8,4.9,0.375,0.3,1.3,0.253,1.5,3.6,0.421,0.41,0.8,1,0.813,0.2,1.5,1.7,1.9,0.5,0,1,1.7,4.9
Rod Strickland,PG,38,HOU,16,2,12.3,0.6,2.7,0.209,0.1,0.1,0.5,0.5,2.6,0.195,0.221,0.6,0.6,0.9,0.2,1.5,1.7,2.4,0.2,0.1,1,0.9,1.8
Bruno Šundov,C,24,NYK,21,0,3.5,0.5,1.8,0.297,0,0.1,0.333,0.5,1.6,0.294,0.311,0.1,0.1,1,0.3,0.3,0.6,0.1,0.1,0.1,0.3,0.8,1.2
Bob Sura,PG,31,HOU,61,59,31.5,3.5,8.3,0.427,0.9,2.5,0.355,2.6,5.7,0.458,0.481,2.3,3.1,0.75,1.3,4.2,5.5,5.2,1.1,0.1,2.4,2.8,10.3
Mike Sweetney,C,22,NYK,77,28,19.6,3.1,5.8,0.531,0,0,0,3.1,5.8,0.533,0.531,2.3,3.1,0.749,2.2,3.2,5.4,0.6,0.4,0.4,1.4,2.9,8.4
Robert Swift,C,19,SEA,16,0,4.5,0.3,0.7,0.455,0,0,,0.3,0.7,0.455,0.455,0.3,0.6,0.556,0.1,0.3,0.3,0.1,0.1,0.4,0.3,1,0.9
Stromile Swift,PF,25,MEM,60,14,21.3,3.7,8.1,0.449,0,0.1,0,3.7,8.1,0.452,0.449,2.8,3.7,0.758,1.5,3,4.6,0.7,0.7,1.5,1.5,3,10.1
Wally Szczerbiak,SF,27,MIN,81,37,31.6,5.7,11.3,0.506,0.8,2.1,0.373,5,9.3,0.536,0.54,3.2,3.8,0.855,1,2.7,3.7,2.4,0.5,0.2,1.6,2.2,15.5
Yuta Tabuse,PG,24,PHO,4,0,4.3,0.3,1.5,0.167,0.3,0.3,1,0,1.3,0,0.25,1,1,1,0.5,0.5,1,0.8,0,0,0.3,0.3,1.8
Maurice Taylor,PF-C,28,TOT,65,16,20.6,3.1,6.9,0.455,0,0.1,0.333,3.1,6.7,0.458,0.459,1,1.6,0.612,1,2.9,4,1,0.4,0.3,1.4,2.8,7.3
Maurice Taylor,PF,28,HOU,38,16,23.8,3.3,7.7,0.435,0.1,0.2,0.375,3.3,7.5,0.437,0.44,1,1.6,0.65,1.1,3.2,4.3,1.4,0.4,0.3,1.7,3.2,7.8
Maurice Taylor,C,28,NYK,27,0,16,2.8,5.7,0.494,0,0,0,2.8,5.7,0.497,0.494,0.9,1.6,0.558,1,2.5,3.4,0.5,0.4,0.3,1.1,2.1,6.5
Sebastian Telfair,PG,19,POR,68,26,19.6,2.5,6.3,0.393,0.3,1,0.246,2.2,5.3,0.421,0.413,1.5,2,0.789,0.1,1.4,1.5,3.3,0.5,0.1,1.8,1.8,6.8
Jason Terry,PG,27,DAL,80,57,30,4.7,9.3,0.501,1.3,3.1,0.42,3.4,6.2,0.54,0.57,1.8,2.2,0.844,0.5,1.9,2.4,5.4,1.4,0.2,1.8,2.2,12.4
Billy Thomas,SF,29,NJN,25,0,14.2,1.4,3.8,0.362,0.7,2.2,0.304,0.7,1.5,0.447,0.452,0.3,0.4,0.778,0.3,1.2,1.4,0.7,0.6,0,0.4,1.2,3.7
Etan Thomas,C,26,WAS,47,10,20.8,2.7,5.4,0.502,0,0,,2.7,5.4,0.502,0.502,1.6,3.1,0.528,1.8,3.4,5.2,0.4,0.4,1.1,1.1,2.8,7.1
James Thomas,PF,24,TOT,11,2,10.6,1.1,1.8,0.6,0,0,,1.1,1.8,0.6,0.6,0.2,0.5,0.333,1.5,1.8,3.4,0.4,0.4,0.4,0.6,1.2,2.4
James Thomas,PF,24,POR,9,2,12.4,1.2,2,0.611,0,0,,1.2,2,0.611,0.611,0.2,0.7,0.333,1.7,2.2,3.9,0.4,0.4,0.4,0.8,1.3,2.7
James Thomas,PF,24,ATL,2,0,2.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,1,0,1,0,0,0,0,0.5,1
John Thomas,C,29,MIN,44,8,11.8,1,2,0.488,0,0,,1,2,0.488,0.488,0.6,1,0.587,0.9,1.3,2.2,0.4,0.3,0.3,0.4,1.9,2.5
Kenny Thomas,PF,27,TOT,73,58,29.7,5,10.7,0.47,0,0.1,0.2,5,10.6,0.472,0.471,2.4,3.1,0.762,2.5,4.8,7.3,2.1,0.9,0.2,1.8,3.1,12.4
Kenny Thomas,PF,27,PHI,47,43,28.6,4.6,10.1,0.456,0,0.1,0.25,4.6,10,0.458,0.457,2,2.5,0.798,2.3,4.3,6.6,1.6,0.9,0.1,1.8,3.2,11.3
Kenny Thomas,PF,27,SAC,26,15,31.7,5.8,11.7,0.492,0,0,0,5.8,11.7,0.493,0.492,3,4.2,0.722,3,5.7,8.7,2.9,1,0.4,1.8,2.9,14.5
Kurt Thomas,PF,32,NYK,80,80,35.7,5.3,11.3,0.471,0,0.1,0.5,5.3,11.2,0.47,0.472,0.8,1.1,0.786,2.1,8.3,10.4,2,0.9,1,1.2,3.9,11.5
Tim Thomas,SF,27,NYK,71,68,27.3,4.4,10.1,0.439,1.2,2.9,0.409,3.2,7.2,0.451,0.498,1.9,2.4,0.786,0.6,2.7,3.3,1.5,0.6,0.2,1.6,3.1,12
